Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
Rohit Sharma,227,5879,30.3,129.89,1,40,519,240,15,8.02,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244982/rohit-sharma.jpg,8980.0,5972.0,95.95710455764075
Virat Kohli,223,6624,36.2,129.15,5,44,578,218,4,8.8,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244980/virat-kohli.jpg,9709.0,5754.0,100.0
Shikhar Dhawan,206,6243,34.88,126.33,2,47,701,136,4,8.25,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170660/shikhar-dhawan.jpg,9358.0,2718.0,81.21179624664879
Surya Kumar Yadav,123,2644,30.05,136.78,0,16,284,84,0,8.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244979/suryakumar-yadav.jpg,4129.0,2676.0,43.603217158176946
Ambati Rayudu,188,4190,28.9,127.12,1,22,349,164,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171012/ambati-rayudu.jpg,6335.0,52.0,45.3047363717605
David Warner,162,5881,42.01,140.69,4,55,578,215,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244788/david-warner.jpg,8858.0,4453.0,86.94012511170688
Shreyas Iyer,101,2776,31.55,125.38,0,19,237,99,0,7.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171024/shreyas-iyer.jpg,4133.0,1570.0,37.70151921358356
Liam Livingstone,23,549,27.45,166.87,0,4,38,40,6,8.96,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244797/liam-livingstone.jpg,916.0,658.0,9.812332439678285
Prithvi Shaw,63,1588,25.21,147.45,0,12,192,55,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171030/prithvi-shaw.jpg,2571.0,-30.0,17.95531724754245
Shubman Gill,74,1900,32.2,125.25,0,14,188,47,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171042/shubman-gill.jpg,2799.0,333.0,21.53172475424486
Nitish Rana,91,2181,27.96,134.22,0,15,190,111,7,8.36,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171047/nitish-rana.jpg,3462.0,-5.0,24.45933869526363
Faf Du Plessis,116,3403,34.37,130.58,0,25,314,109,0,16.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c170639/faf-du-plessis.jpg,5068.0,2273.0,48.155495978552274
David Miller,105,2455,36.64,137.69,1,12,169,113,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244759/david-miller.jpg,3674.0,3236.0,43.35299374441466
Kane Williamson,76,2101,36.22,126.03,0,18,181,64,0,10.33,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244826/kane-williamson.jpg,3034.0,3561.0,40.520107238605895
Rilee Rossouw,5,53,10.6,103.92,0,0,3,3,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244768/rilee-rossouw.jpg,83.0,1096.0,6.205540661304736
Shimron Hetmyer,46,831,30.78,152.2,0,3,55,52,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171232/shimron-hetmyer.jpg,1348.0,1220.0,15.914209115281503
Rahul Tripathi,76,1798,27.66,140.8,0,10,176,68,0,12.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226470/rahul-tripathi.jpg,2815.0,171.0,20.777479892761395
Devdutt Padikkal,46,1260,28.0,124.38,1,7,135,36,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c195763/devdutt-padikkal.jpg,1931.0,52.0,13.819481680071494
Ruturaj Gaikwad,36,1207,37.72,130.35,1,10,113,43,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226277/ruturaj-gaikwad.jpg,1802.0,207.0,13.728328865058087
Yashaswi Jaiswal,23,547,23.78,134.73,0,3,62,22,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226279/yashasvi-jaiswal.jpg,902.0,0.0,6.184092940125112
Abdul Samad,25,226,14.12,142.14,0,0,12,14,2,12.56,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226276/abdul-samad.jpg,358.0,0.0,2.2949061662198393
Riyan Parag,47,522,16.84,124.88,0,2,40,22,4,10.7,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c156160/riyan-parag.jpg,794.0,0.0,5.411974977658623
Rovman Powell,14,250,25.0,149.7,0,1,10,22,0,17.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244832/rovman-powell.jpg,417.0,1377.0,10.100089365504914
Aiden Markram,20,527,40.54,134.1,0,3,37,23,1,8.7,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244757/aiden-markram.jpg,788.0,1320.0,12.446827524575514
Tilak Varma,14,397,36.09,131.02,0,2,29,16,0,6.5,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226525/tilak-varma.jpg,594.0,0.0,3.982126899016979
Mayank Agarwal,113,2331,22.63,134.51,1,12,227,91,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171091/mayank-agarwal.jpg,3650.0,0.0,25.830205540661304
Manish Pandey,160,3648,29.9,121.52,1,21,317,105,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171022/manish-pandey.jpg,5321.0,994.0,43.10634495084897
Rinku Singh,17,251,20.92,130.05,0,0,23,9,0,0.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c187877/rinku-singh.jpg,402.0,0.0,2.609472743521001
Ajinkya Rahane,158,4074,30.86,120.68,2,28,431,80,1,5.0,0,0,Batsman,https://www.cricbuzz.com/a/img/v1/152x152/i1/c171082/ajinkya-rahane.jpg,5963.0,534.0,45.22966934763181
